Data (bytes),Latency (ns),Troughput (bps)
1,1423566,5619.69
100,1570348,509441
200,1825863,876298
300,1882040,1.27521e+06
400,1924181,1.66305e+06
500,1981302,2.01887e+06
600,2012844,2.38469e+06
700,2052792,2.72799e+06
800,2096065,3.05334e+06
900,2169279,3.31908e+06
1000,2182081,3.66623e+06
1024,2239175,3.65849e+06
2048,2122052,7.72083e+06
3072,2275793,1.07989e+07
4096,2346903,1.39622e+07
5120,811417,5.04796e+07
6144,885044,5.55362e+07
7168,936654,6.12222e+07
8192,931513,7.03544e+07
9216,1021330,7.21882e+07
10240,1105910,7.40747e+07
11264,1186224,7.59654e+07
12288,1272556,7.72493e+07
13312,1364618,7.80409e+07
14336,1452239,7.89732e+07
15360,1532941,8.01596e+07
16384,1631221,8.03521e+07
17408,1709723,8.14541e+07
18432,1791315,8.23172e+07
19456,1889277,8.2385e+07
20480,1971801,8.30915e+07
21504,2056865,8.3638e+07
22528,2156210,8.35837e+07
23552,2243572,8.39804e+07
24576,2328746,8.44266e+07
25600,2408054,8.50479e+07
26624,2496262,8.53244e+07
27648,2587683,8.54757e+07
28672,2671693,8.58542e+07
29696,2769178,8.57901e+07
30720,2845244,8.63757e+07
31744,2934519,8.65396e+07
32768,3027766,8.658e+07
